InitializeWeights:  w_a = 0.995 w_b = 0.99999

 iterations              T          dS/S            meanE              sdE         (e)meanE           (e)sdE   acc    alpha

     110000 1000000.000000  4.721902e-01   1251231.828953   1058895.252392   1251231.828953   1058895.252392  0.44  0.22680
     120000  513583.510609  2.702544e-04    778213.416246    420769.466798    679665.286043    480072.170533  0.38  0.22264
     130000  379327.018269  2.969270e-04    676608.980102    454890.331614    505729.734441    346860.066366  0.41  0.22582
     140000  280753.517317  3.049935e-04    185549.716504    262309.646609    367878.837785    252649.349453  0.44  0.22680
     150000  209450.704077  2.905973e-04    316645.111841    188440.972517    293795.975264    192789.204349  0.40  0.22500
     160000  158633.205763  2.662226e-04    205439.469289    114613.803063    230081.567188    150204.667908  0.49  0.22358
     170000  122821.396887  2.495415e-04    182432.891328    102080.921487    184453.038520    118853.837908  0.45  0.22664
     180000   96780.302385  2.222436e-04    178689.707464    127801.750767    153399.328959     96295.781796  0.52  0.21879
     190000   77433.307925  2.174670e-04    135903.224229     64064.262458    123830.708490     78181.245057  0.38  0.22264
     200000   62369.043386  2.080729e-04     93395.589879     42828.773279    112083.753857     63730.435943  0.44  0.22680
     210000   50518.842341  2.098287e-04    103017.942102     41118.647860     88949.115941     50876.771352  0.43  0.22671
     220000   40902.663933  2.081368e-04     67248.015950     41412.410462     74629.140129     42080.007749  0.39  0.22394
     230000   33487.370965  2.079707e-04     50565.061112     24189.289440     56375.530940     34399.207617  0.43  0.22671
     240000   27508.693489  1.844754e-04     66265.254236     26165.616816     59892.895083     29442.950939  0.49  0.22358
     250000   22907.260776  1.855602e-04     50258.064759     20541.106621     49748.650396     24489.540232  0.46  0.22624
     260000   19181.269602  1.740715e-04     37025.749481     21653.228520     42519.460643     20945.308459  0.39  0.22394
     270000   16191.043962  1.637148e-04     40316.217726     16267.558674     37808.024563     17791.875783  0.46  0.22624
     280000   13764.124223  1.628434e-04     28140.329145     18813.440585     34120.830970     15368.785132  0.45  0.22664
     290000   11735.504950  1.583339e-04     30502.978528     11381.524444     31555.912829     13217.048191  0.43  0.22671
     300000   10061.467026  1.563416e-04     22532.561608      8951.599783     27425.881007     11388.497994  0.58  0.20296
     310000    8670.264776  1.440698e-04     26348.206470     15936.098197     22886.332156     10019.267979  0.49  0.22358
     320000    7532.801971  1.404450e-04     20665.308138     10569.510082     23069.224583      8825.382534  0.40  0.22500
     330000    6568.014602  1.349047e-04     20102.133856      7393.554574     19376.924507      7772.562556  0.42  0.22639
     340000    5771.689713  1.260581e-04     21607.660986     10468.970620     17180.777466      7008.199582  0.48  0.22471
     350000    5132.276078  1.118055e-04     16995.942404      9748.656150     15913.537944      6497.576281  0.35  0.21726
     360000    4612.558028  1.037594e-04     14199.832887      6142.685209     14088.696443      5960.933055  0.38  0.22264
     370000    4176.705176  9.765056e-05     10763.119511      5915.128862     11723.149292      5526.779381  0.45  0.22664
     380000    3804.397538  9.171202e-05      9495.309726      3708.182177     11297.485062      5143.463128  0.43  0.22671
     390000    3486.174793  8.619176e-05     10955.543688      5763.241058     10269.756391      4804.581701  0.48  0.22471
     400000    3205.666273  8.310590e-05      7053.699884      3897.130826      9489.905140      4467.716183  0.40  0.22500
     410000    2953.001843  8.196767e-05     10097.188200      4680.462219      8494.518709      4145.287588  0.33  0.21247
     420000    2727.464881  7.976888e-05     10385.750992      5220.998581      7875.796589      3852.256183  0.44  0.22680
     430000    2520.038550  7.894759e-05      8210.091519      3532.279592      8586.710922      3572.897817  0.51  0.22062
     440000    2331.356650  7.661022e-05      9457.559739      5306.378407      6321.524305      3319.494562  0.35  0.21726
     450000    2158.454930  7.737694e-05      6700.086516      3009.639741      6901.113583      3083.512485  0.37  0.22109
     460000    1998.728178  7.803988e-05      5239.997997      1915.501684      6318.791793      2850.273536  0.44  0.22680
     470000    1850.039790  7.615472e-05      5798.223162      2559.108988      5897.514281      2637.318599  0.42  0.22639
     480000    1713.908686  7.608513e-05      7101.731388      3205.212201      5465.236561      2459.135090  0.39  0.22394
     490000    1588.562539  7.760184e-05      5501.947868      2038.560994      4627.922485      2270.891599  0.50  0.22222
     500000    1471.857619  7.539704e-05      4910.768990      2448.627431      4377.690171      2110.356226  0.43  0.22671
     510000    1363.526008  7.863477e-05      5268.586373      1806.674783      4218.000068      1940.879257  0.47  0.22559
     520000    1262.096844  7.241243e-05      4113.727730      1771.374617      3809.212848      1797.338281  0.46  0.22624
     530000    1167.870002  7.977428e-05      3685.398126       908.062841      3744.708606      1653.788093  0.42  0.22639
     540000    1079.561303  7.981912e-05      4285.401902      1945.751938      3683.947405      1528.769144  0.48  0.22471
     550000     998.292968  7.936218e-05      3201.009753       950.462205      3297.152109      1416.192077  0.43  0.22671
     560000     923.906128  7.790356e-05      4527.500101      1810.100218      3327.734238      1318.997213  0.38  0.22264
     570000     855.658191  7.755543e-05      3613.424892      1787.516486      3006.063020      1217.880671  0.39  0.22394
     580000     791.805521  7.915551e-05      2924.913553       935.057065      2748.036497      1123.643755  0.42  0.22639
